time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-06-14 09:30:00-04:00,MLTrader,44d42fafcbbf400fa263dff334af991d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-14 09:30:00-04:00,MLTrader,44d42fafcbbf400fa263dff334af991d,SPY,buy,market,fill,1,gtc,0.0,1,stock,540.8800048828125,92.0,0.0
2024-06-24 09:30:00-04:00,MLTrader,c6de15f5e58543239d7de2ac42f23870,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,7f9afa99925b41748a7f223912ede1f6,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,007826d773af41c8b92bb64df8f7459f,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,8ad8f7a206234477a2de923a24556c9b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,007826d773af41c8b92bb64df8f7459f,SPY,sell,market,fill,1,day,0.0,1,stock,544.3300170898438,92.0,0.0
2024-06-24 09:30:00-04:00,MLTrader,8ad8f7a206234477a2de923a24556c9b,SPY,sell,market,fill,1,gtc,0.0,1,stock,544.3300170898438,46.0,0.0
2024-06-27 09:30:00-04:00,MLTrader,06dc57ad889a424eb97cdde68dd2508b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-27 09:30:00-04:00,MLTrader,06dc57ad889a424eb97cdde68dd2508b,SPY,sell,market,fill,1,gtc,0.0,1,stock,545.3699951171875,115.0,0.0
